case_,Tmax_star,Fo_at_Tmax,Tend_star,Tout_end_star,umax_star,uend_star,Stt_in_end_star,Stt_out_end_star,Stt_min_end_star,Stt_max_end_star
G_P000,0.925906091385247,0.979249160040637,0.912539082516745,0.883145902841731,1.22220422851744,1.22220422851744,-0.0926312300609689,0.0833522380984207,-0.0926312300609689,0.0835815074507213
G_P010,0.925870168178282,0.979249160040637,0.912520710276758,0.883108006580624,1.57021321864404,1.57021321864404,-0.000944314947968211,0.167877767966799,-0.000944314947968211,0.168079579493725
G_P100,0.925546839327117,0.979249160040637,0.912355340739145,0.882766925632307,4.70229415527697,4.70229415527697,0.82423791882355,0.928607546358546,0.823331660297852,0.928740905451342
H_A_A,0.176323922060857,1.07649229758956,0.176323922060857,0.133518677277669,2.71999699023965,2.71999699023965,-0.0786117523706808,0.524712192399755,-0.0787046729675576,0.737830160166569
H_A_O,0.967365980859076,1.05532128240363,0.935454376905494,0.872799054224647,2.8887906430076,2.88814999559424,0.695859006851071,0.389407888682634,0.327938744847345,0.720085412341733
H_A_UD,0.982284938120174,1.05209180551086,0.955043967188357,0.896211917559737,2.95681473770689,2.95542320986526,0.57586448958547,0.324512145185844,0.307951202890469,0.595034164575306
H_A_V,1.21222170192172,0.566234948532109,0.973678057358588,0.451408054403857,3.10131082705194,2.90706253820372,0.882211937698374,0.0139769958995467,0.00990600989137501,0.891377656749464
H_A_X,0.950544299996274,1.05029765168155,0.941802523307106,0.867409375595246,2.96459782833661,2.96414126254747,0.34768250201591,0.219318046549079,0.206452385929231,0.646476937690125
H_O_A,0.0770599693437909,1.07649229758956,0.0770599693437909,0.0640970727037306,2.17545799066659,2.17545799066659,-0.0891433673725689,0.489980788558329,-0.0894758887714863,0.852953530375338
H_O_O,0.892788642920839,1.04060922100324,0.873525620418807,0.81701786732593,2.96622574366881,2.96572479587417,0.308914756829969,0.467477791727595,0.302083300256419,0.54148406489358
H_O_UD,0.866875156818295,1.03666208257875,0.858866329576532,0.804966652151556,2.92320597708672,2.92318709183296,0.225480260590206,0.376997754668867,0.224128848249382,0.661657833189373
H_O_V,1.05714502747724,0.81059870008494,1.02163599265374,0.671771388467428,3.19287493915222,3.17187078208509,0.483774571613604,0.0152769573999401,0.012034377642194,0.90290057061072
H_O_X,0.750334643081921,1.07649229758956,0.750334643081921,0.699915292594448,2.69534152433623,2.69534152433623,0.0833156096529368,0.235795583949812,0.0807087151201588,0.860771835601129
H_UD_A,0.127945683487085,1.07649229758956,0.127945683487085,0.106824542361017,2.37720298264225,2.37720298264225,-0.0859738169723713,0.722853731794303,-0.0861772549974178,0.722853731794303
H_UD_O,0.926565150910981,0.978172667743048,0.900979514585778,0.86950391849262,2.911466450359,2.911466450359,0.451736319707233,0.605455084000586,0.336543918212893,0.605518549715923
H_UD_UD,0.925726467919534,0.979249160040637,0.91244721292934,0.882956423925745,2.96224919898239,2.96224919898239,0.365803346086767,0.505979891065494,0.365741208909197,0.506151279350871
H_UD_V,1.1089463053551,0.790145346430738,1.00228754823769,0.676135334762369,3.29723262405105,3.18395001777686,0.720750855702453,0.0212755724802436,0.017748097609301,0.72981102768336
H_UD_X,0.866699302116002,1.07649229758956,0.866699302116002,0.828261742345173,2.91925801763566,2.91907970881635,0.199963685255343,0.340052642740522,0.196253990854673,0.635196456218285
H_V_A,0.0404999074326281,1.07649229758956,0.0404999074326281,0.0337179319407407,2.04489535552375,2.04489535552375,-0.0905438788470981,0.869579512941817,-0.0908830359628687,0.869579512941817
H_V_O,0.703513744033668,1.07649229758956,0.703513744033668,0.615635793192577,2.71124554133782,2.71124554133782,0.169084981293193,0.847776626197676,0.169084981293193,0.847784306264227
H_V_UD,0.661228606600846,1.07649229758956,0.661228606600846,0.587398329583572,2.69118910582743,2.69118910582743,0.116512891252811,0.700496583945991,0.112557199866602,0.700496583945991
H_V_V,0.908080643418406,1.06106257465744,0.903463874249705,0.691859493771608,3.42924802107772,3.42897792743565,0.464266950824289,0.0306366222705044,0.0267170865301467,0.776516416575343
H_V_X,0.520082997345887,1.07649229758956,0.520082997345887,0.472048925479052,2.51317690168335,2.51317690168335,0.0233253887505151,0.454039748654631,0.0214496053940985,0.668863586459685
H_X_A,0.16837010182483,1.07649229758956,0.16837010182483,0.115882014616775,2.56584649890332,2.56575218340411,-0.0823002946955035,0.986790395544032,-0.0838683734476692,0.986790395544032
H_X_O,0.891112664331312,0.319359381618236,0.809813098465008,0.648816687128583,2.65675105077033,2.65615000361649,0.474518133351081,0.77472721736851,0.150334060249501,0.774849087511387
H_X_UD,0.841423610031236,1.07649229758956,0.841423610031236,0.700743059117157,2.79071658192922,2.78999659922391,0.417942586602682,0.661616291684812,0.210099140801756,0.661714656188615
H_X_V,1.11108263385049,0.594941409801164,0.989412839459486,0.726167354019534,3.30038708500625,3.2268025890689,0.995462743368272,0.0270755624917454,0.0221865703018335,1.00555467078462
H_X_X,0.827105024790868,1.07649229758956,0.827105024790868,0.713874958196145,2.91635099283423,2.91635099283423,0.273565884437504,0.465289296598881,0.27231101154749,0.558470862461443
I_UNCOUPLED,0.936924970625022,0.961666452513341,0.925644220136053,0.904181748508254,2.97932457859297,2.97932457859297,0.3720089953201,0.50290264481109,0.3720089953201,0.503099267807151
J_HC_100,0.8017417294315,0.978890329274774,0.769100053466296,0.590701387924322,2.74511040731238,2.74446247283972,0.281793431725809,0.5524849503848,0.281793431725809,0.5524849503848
J_HC_1000,0.714699632517088,0.598888548225659,0.493898688116692,0.106844541712901,2.46618583654524,2.34582946699697,0.129380187905709,0.612953595471447,0.129380187905709,0.612953595471447
K_RO_125,0.727094708024256,0.102805014419803,0.716518808991178,0.999299963111345,4.33459068582088,4.33459068582088,0.962706819868316,0.842835220377538,0.831304898727084,1.04942550159481
K_RO_200,0.826508904359208,4.30596919035824,0.826508904359208,0.740040885649784,1.73055053466554,1.73055053466554,-0.150535795860431,0.215664887326476,-0.150535795860431,0.215664887326476
L_NL_15,0.924260572572905,0.978531498508911,0.91402979920531,0.88280897713225,2.96230821010694,2.96230821010694,0.365833519680893,0.506094231180199,0.364491507663046,0.506449149939638
L_NL_3,0.923320050844468,0.972431375489237,0.912638638044483,0.883390855099544,2.96260749682198,2.96258624207282,0.365743522203582,0.505769911013083,0.365743522203582,0.505885759810312
L_NL_5,0.924385776722102,0.976737344679595,0.915086479924744,0.883141986821651,2.96217068015138,2.96217068015138,0.365632853538567,0.50585966921111,0.365307158825603,0.50585966921111
L_NL_9,0.925585739973119,0.979966821572364,0.913593800343773,0.882561615340849,2.96236724160592,2.96236724160592,0.365800832893038,0.506203490106924,0.365685665320188,0.506425829270847
M_GAUSS_FOU,0.194576144069434,0.176185906038825,0.0186522842117296,0.024845586761734,1.98904425144733,1.76443876245501,0.467515913730076,0.421047709612918,0.417731388033538,0.467515913730076
M_GAUSS_LS,0.478088883166082,0.306082643281299,0.00138609580510831,0.0381832813873971,1.90936122705165,1.76596273294586,0.469761968172653,0.416274373479721,0.411934599403901,0.469761968172653
O_AB_100,0.897639699276158,1.04168571330083,0.876648840407885,0.820503121112004,2.932533158582,2.932533158582,0.348219260487338,0.514035556665346,0.348219260487338,0.514054113268153
O_AB_267,0.938647835629272,0.951978021835035,0.928312498575062,0.911312044002389,2.97119969210081,2.97119969210081,0.372963478260658,0.501647266077058,0.372963478260658,0.501647266077058
P_BT_2000,0.925458971988902,0.979607990806501,0.912108555758435,0.882524034320005,2.921704569742,2.921704569742,0.363422377772129,0.507938998475094,0.363287974324653,0.508115555341948
P_BT_500,0.926156489501208,0.978890329274774,0.913042239350832,0.883673268429604,3.03230388474195,3.03230388474195,0.369600200125653,0.502809750657409,0.369538174375652,0.502898911870174
